id;nome;email;cpf;telefone;senha;ativo;created_at;updated_at
26;Eduardo Ramos;eduardo.ramos@email.com;525.560.653-95;(42) 98875-5800;255d4e6652e155f0df8f35af981a1855;1;01/02/2024;2024-05-11 13:21:22
27;Tatiane Lopes;tatiane.lopes@email.com;560.868.668-95;(44) 98099-9799;77818cb4bc8e8ddae0167cef70ed04d9;1;2025-06-06 20:22:25;2025-10-02 09:47:03
28;Felipe Andrade;felipe.andrade@email.com;382.365.308-45;(49) 98209-1842;a446af76e88cc307c2e4965295736ec2;N;16/04/2025 03:17:21;2025-09-04 20:09:12
29;Natalia Cunha;natalia.cunha@email.com;444.294.502-11;(47) 98217-7093;651e2978a66c35744e357214cb49e335;1;2025-01-03 19:53:36;2025-02-19 13:23:20
30;Vinicius Braga;vinicius.braga@email.com;61984257919;(48) 99015-1860;e2734aaeeb82d15c453a630556779b73;1;2024-11-11 21:56:45;2025-05-28 11:31:08
31;Priscila Machado;priscila.machado@email.com;598.994.728-51;(42) 98472-1389;7ae251fb177505ef4064110e6c7eb348;1;2024-03-01 22:44:08;2025-06-03 15:17:47
32;Leonardo Fonseca;leonardo.fonseca@email.com;276.255.581-11;;f632ba0da37b487dcc0c6272c1d6ed81;1;2024-06-03 04:43:02;2025-07-03 09:54:37
33;Carolina Duarte;carolina.duarte@email.com;614.224.141-47;45988016893;cf785f518461b16240f970934b24a128;1;2025-04-02 04:55:41;2025-10-28 10:23:14
34;Alexandre Pires;alexandre.pires@email.com;676.533.210-62;(49) 99114-1648;1ca9fed77ea06565f1db2245f726cc44;S;2024-06-26 08:41:27;2024-12-14 08:53:37
35;Fernanda Neves;fernanda.neves@email.com;64315685721;(49) 98673-9904;c51b39e3aad81f9d9762b5d73a51915a;1;19/11/2024 13:15:44;2025-05-27 14:48:05
36;Ricardo Bastos;ricardo.bastos@email.com;184.269.113-85;(48) 99153-8688;56fe3fa9ff8e6e245c83f16644fd3f93;1;2024-11-17 16:03:20;2025-01-18 15:58:13
37;Monica Salgado;monica.salgado@email.com;990.487.602-94;(46) 98198-2716;9f75bbfd84e6cd20af174b297bd47104;1;2025-04-18 19:16:39;2025-04-20 23:32:57
38;Henrique Padilha;henrique.padilha@email.com;557.483.604-18;(42) 98923-7351;b017dfc6c557849f87101b282cca81f1;1;2024-09-21 21:20:57;2025-04-22 23:01:34
39;Sabrina Coelho;sabrina.coelho@email.com;934.330.542-52;(49) 99656-3871;88d3ff41194c5d1c41f8ee5ba3332bd0;1;04/02/2024;2024-02-16 00:11:59
40;Otavio Belmonte;otavio.belmonte@email.com;63857185916;;dbe9ead9ac559844928bcc623f32ecf9;1;2024-07-15 17:21:21;2024-10-02 14:11:37
41;Daniela Arruda;juliana.prado@email.com;728.878.899-73;(42) 98481-2962;936d2442aa2b50a4ff2b315d58a2a142;1;2024-08-17 13:08:44;2025-09-10 14:30:15
42;Marcio Bittencourt;marcio.bittencourt@email.com;818.187.927-18;(41) 98008-3734;4edb1339ce7191c8c53e6538b02c02ca;1;16/04/2024 23:15:36;2025-10-12 07:20:18
43;Elisa Camargo;elisa.camargo@email.com;330.647.317-84;(46) 99782-9465;12f6e48a12f1a9437c251670d111b0cb;1;2024-06-14 14:04:59;2024-07-22 14:41:07
44;Rogerio Setubal;rogerio.setubal@email.com;254.350.228-26;45987106841;b1da70ff3a4f3a509736309a080ae4d7;1;2024-07-22 21:09:17;2025-01-25 23:00:48
45;Cristiane Aguiar;cristiane.aguiar@email.com;72963276938;(47) 99670-6343;941dfe8e5bfd0dd9d31adc4ccd8f018f;1;2025-07-25 13:43:23;2025-09-12 12:31:55
46;Wagner Toledo;wagner.toledo@email.com;184.614.562-92;(49) 99752-5795;154e9a3b6c92099a19faf05043113683;1;2024-04-21 00:29:00;2024-08-11 04:06:55
47;Isabela Quintana;isabela.quintana@email.com;823.476.597-14;(45) 99787-2436;bcea456455870d918d868510b3136937;1;2024-11-28 01:19:08;2025-04-27 01:53:28
48;Sergio Modesto;sergio.modesto@email.com;870.239.333-90;;9ed7bda6a7fda0222a3ef3aec0f01025;1;2025-02-19 08:45:03;2025-09-15 21:12:46
49;Raquel Vasques;raquel.vasques@email.com;664.787.553-92;(43) 99070-1617;fb39cd47ac67b901cd376cc4a040d220;1;13/02/2024 20:15:55;2024-11-10 15:35:57
50;Joao Pedro Ferraz;joao.pedro.ferraz@email.com;45641164816;(45) 98448-4563;91bff5d7835606b4230263bd8a3dc77a;1;2024-12-10 03:36:54;2025-01-16 01:24:23
51;Luana Sampaio;luana.sampaio@email.com;377.266.242-71;(46) 99884-1253;f510a4a12e4020436c688cdb8a6f9b44;S;2024-09-21 13:55:00;2025-03-21 08:27:13
52;Everton Guimaraes;everton.guimaraes@email.com;;(49) 99819-5136;1fdafaf104a69c5fd1771b6794de6a76;1;02/04/2025;2025-07-15 06:00:28
53;Michele Portela;michele.portela@email.com;380.994.588-87;(45) 99367-7288;225877d4bb957d06d500985a4ee08ccd;1;2024-05-12 09:02:02;2025-09-01 04:46:36
54;Anderson Belarmino;anderson.belarmino@email.com;401.384.239-56;(44) 98887-7025;e5859d6ad6ecfdee1b75172b0415f3ec;1;2025-07-21 12:21:59;2025-08-01 13:07:49
55;Karina Estrela;karina.estrela@email.com;71125983660;41983633631;94897c551c2c154a233de74e65419895;1;2024-01-28 12:46:01;2025-04-12 07:59:47
56;Nelson Uchoa;nelson.uchoa@email.com;409.424.125-77;;b74a80f56e9d3503f18e2fe85fdc0bcc;1;20/11/2024 02:26:22;2025-04-26 17:08:50
57;Viviane Trindade;viviane.trindade@email.com;950.461.626-16;(41) 98504-1627;614a268f651b287fad0e1fe9e22eccf5;1;2025-03-05 17:03:03;2025-05-21 00:24:04
58;Adriano Rezende;adriano.rezende@email.com;278.101.951-80;(46) 99713-2113;ab0cd4a28fef34829ff35ddc1de16275;1;2025-05-07 20:01:25;2025-07-09 13:57:39
59;Silvia Bandeira;silvia.bandeira@email.com;197.295.744-21;(42) 98997-4504;4f23f4f50fd3fc5fe153a5458e41dcab;1;2025-07-21 06:48:41;2025-09-25 01:02:30
60;Murilo Espindola;murilo.espindola@email.com;49146017344;(47) 98355-4033;d8b71fd7671cad1502c2b7af26b2ec50;1;2025-04-29 12:29:08;2025-05-06 21:30:26
